alpha1,alpha3,E_s,E_e,s_lr,model_surv,flat_surv,diff_surv
-0.003,0.05,0.04573419734254517,0.045858603442445606,0.077838916226964,1390.678278566783,1510.9406879653866,120.2624093986035
-0.002,-0.05,0.02378729634104826,0.023835897110284353,0.07672038490367963,367.22910103081,785.3406792748281,418.111578244018
-0.002,-0.04,0.04893184459328676,0.04905923649535648,0.0766616352483974,1346.1622727276877,1616.3945470860472,270.23227435835946
-0.002,-0.03,0.02825815083226616,0.028322874885380333,0.07660235507674912,556.4994569134271,933.1767836799162,376.677326766489
-0.002,-0.02,0.028234488004721288,0.028299865507857545,0.0765423398528874,559.5841969246926,932.4186750134023,372.8344780887097
-0.002,-0.01,0.04880934943985644,0.048939128514993886,0.07648163922950224,1327.7964455302658,1612.4372518163177,284.6408062860519
-0.002,0.0,0.036116655924973845,0.036207716367670104,0.07642015424144327,856.524866260687,1192.9650659092451,336.44019964855806
-0.002,0.01,0.042862004118567824,0.042974757558088286,0.07635803400695625,1102.5803730101197,1415.9242732163932,313.34390020627364
-0.002,0.02,0.0395646317301298,0.05120129898822598,0.07629518429697578,980.8513077295642,1686.970821409426,706.1195136798618
-0.002,0.03,0.051241097922506036,0.051382287977545384,0.07623164034823685,409.0429571604576,1692.9340127739351,1283.8910556134774
-0.002,0.04,0.05119698204107433,0.04604038150645232,0.07616746203558025,1390.678278566783,1516.9298776150893,126.25159904830622
-0.002,0.05,0.039456628436110495,0.03956103107193935,0.0761026477078752,972.9479005775579,1303.449451518412,330.5015509408539
-0.001,-0.05,0.02378729634104826,0.023835897110284353,0.07486484392335171,367.22910103081,785.3406792748281,418.111578244018
-0.001,-0.04,0.04893184459328676,0.04905923649535648,0.07480621373215152,1346.1622727276877,1616.3945470860472,270.23227435835946
-0.001,-0.03,0.02825815083226616,0.028322874885380333,0.07474705214209067,556.4994569134271,933.1767836799162,376.677326766489
-0.001,-0.02,0.028234488004721288,0.028299865507857545,0.074687117034792,559.5841969246926,932.4186750134023,372.8344780887097
-0.001,-0.01,0.04880934943985644,0.048939128514993886,0.07462639895457143,1327.7964455302658,1612.4372518163177,284.6408062860519
