alpha1,alpha3,delta,E_s,s_lr,model_surv,flat_surv,diff_surv
-0.005,0.04,0.6,0.04153388266918315,0.13022406038704565,1378.6016518018534,1368.4505969051056,-10.151054896747832
-0.005,0.04,0.7,0.043810648478295744,0.13015356585358367,1485.7270971838402,1443.4650508946181,-42.262046289222
-0.005,0.04,0.8,0.04785186429166232,0.13025507351575913,1693.529333872723,1576.6142735683534,-116.91506030436946
-0.005,0.04,0.9,0.056097165983586626,0.1287967302957547,2182.6825333573206,1848.278931357459,-334.4036019998615
-0.005,0.05,0.0,0.035230962686586195,0.1324099122667949,1113.9986747896833,1160.7831683352847,46.78449354560138
-0.005,0.05,0.1,0.0350587811024965,0.1304086970463409,1113.6901441957207,1155.1101617107815,41.42001751506093
-0.005,0.05,0.2,0.03543440343214068,0.13043843734105126,1130.5135213101303,1167.4860959644277,36.97257465429738
-0.005,0.05,0.3,0.03594532843096483,0.130451758457363,1153.5986124517858,1184.3199572526578,30.721344800871968
-0.005,0.05,0.4,0.03662736166827495,0.1304757446842259,1184.3696362957335,1206.7914607752182,22.421824479484684
-0.005,0.05,0.5,0.037559348573801755,0.1302942743683974,1227.9090977380536,1237.498391002143,9.589293264089532
-0.005,0.05,0.6,0.03881277940501774,0.13022406857632857,1289.6891468017172,1278.7961955637534,-10.89295123796374
-0.005,0.05,0.7,0.04092816946087544,0.1301535587107604,1392.6094648557767,1348.4936714217822,-44.11579343399462
-0.005,0.05,0.8,0.04466311304868575,0.1302550548864081,1593.061446621622,1471.5518940988109,-121.50955252281103
-0.005,0.05,0.9,0.052260162726265456,0.12879879916925369,2070.598196874653,1721.8580657805476,-348.74013109410544
-0.004,0.0,0.0,0.0326959012098983,0.1324587979889768,1029.7036715494419,1077.2584370069837,47.55476545754197
-0.004,0.0,0.1,0.03251768572910558,0.13040872027435124,1029.3218378368515,1071.386626682603,42.06478884575167
-0.004,0.0,0.2,0.03285177116946312,0.13043845099987725,1044.8786496962173,1082.3940112778746,37.515361581657345
-0.004,0.0,0.3,0.03331360742835183,0.13045177099986419,1066.4959285964392,1097.6105059451934,31.114577348754256
-0.004,0.0,0.4,0.03393298616914342,0.13047574325045116,1095.4303124740106,1118.0176808365375,22.587368362526757
