alpha1,alpha3,time,model_stock,model_effort,real_stock,real_effort
-0.003,-0.04,26,0.06883970442438758,0.0906806866869612,0.05955152251330182,0.07558314835568365
-0.003,-0.04,27,0.07554096324884552,0.0969707353719552,0.06614221137394524,0.09538653648673306
-0.003,-0.04,28,0.08329824323139684,0.1080958068107168,0.07429561491603079,0.10345099524745932
-0.003,-0.04,29,0.09251658599638699,0.1219690942235841,0.07982548432653046,0.11143998274544732
-0.003,-0.04,30,0.10497367195797495,0.1447204278685773,0.08464408120857476,0.11380758474033985
-0.003,-0.03,1,0.0015536052030147027,0.01964032306936247,-0.0016119475556586923,1.9444019386073857e-5
-0.003,-0.03,2,0.005766545582501624,0.0191030815058513,-0.002159836382695989,-0.003628047446808362
-0.003,-0.03,3,0.00888531198256727,0.018767671210479037,-0.003802357045879357,-0.009781149117063138
-0.003,-0.03,4,0.011188544399296126,0.0184957603622809,-0.0029279791053400616,0.0007957307527190494
-0.003,-0.03,5,0.01284440388959101,0.01810680324489183,-0.0002776824049067208,0.008904643438812497
-0.003,-0.03,6,0.014047268797188407,0.017878924745695086,-0.0009811304996678331,-0.0018127599892611567
-0.003,-0.03,7,0.014938510873515668,0.017786114819822705,-0.0008042557437489253,-9.122812402837229e-5
-0.003,-0.03,8,0.015623142665015154,0.017818586284413726,0.0001255306201194985,0.003686639722311078
-0.003,-0.03,9,0.016182246685778112,0.017981899094555994,-0.0017639264112091874,-0.00762689110394796
-0.003,-0.03,10,0.016682591188300025,0.018297701027096283,-0.00034929899827838146,0.006066943704524169
-0.003,-0.03,11,0.017184598168262864,0.018806504074911124,0.000779977788634285,0.005894351184784294
-0.003,-0.03,12,0.017749680458514185,0.019573047036886854,0.003974346345024528,0.014782916764164999
-0.003,-0.03,13,0.01844775384498555,0.02069438530211294,0.007972203469334235,0.021433118692904915
-0.003,-0.03,14,0.01936590068037173,0.02231222754956292,0.01024571488857211,0.01942619768696443
-0.003,-0.03,15,0.020619228510638195,0.024630778470412087,0.011421334661787616,0.018201524821749165
-0.003,-0.03,16,0.022365320244102073,0.02794260621227109,0.015365272857791898,0.027172973005234913
-0.003,-0.03,17,0.024752116564353402,0.03236556847487319,0.019757643642576157,0.0363866628900798
-0.003,-0.03,18,0.02789022649710977,0.03789239471225376,0.02607724319907534,0.046058111709083326
-0.003,-0.03,19,0.03128426277893376,0.0421072043219174,0.032067985928988324,0.054448325080729255
-0.003,-0.03,20,0.03505587304756275,0.047085960350188236,0.03175296343224757,0.04047125673083545
-0.003,-0.03,21,0.03926105950104664,0.05267696060681779,0.036493846558845626,0.04982503812886209
-0.003,-0.03,22,0.0440135765541533,0.059177191155281604,0.0397829161469858,0.05783672526985862
-0.003,-0.03,23,0.049214276241518966,0.06581301636611588,0.0451193176028545,0.06457259233733582
-0.003,-0.03,24,0.055287791884852215,0.07466900974700402,0.05000662439262597,0.07386739767118075
-0.003,-0.03,25,0.062006177323055606,0.08345003830268184,0.055842910580694044,0.07009395755647525
-0.003,-0.03,26,0.06873880497485704,0.09024840146192277,0.05955152251330182,0.07558314835568365
-0.003,-0.03,27,0.07541893203336927,0.09678279317267448,0.06614221137394524,0.09538653648673306
-0.003,-0.03,28,0.08303451240558511,0.10738407186506123,0.07429561491603079,0.10345099524745932
