delta,time,model_stock,model_effort,real_stock,real_effort,adj_cost,linear_cost,q_cost
0.0,39,0.15587915670021213,0.15596420924757123,0.12195816397765424,0.12139671427935732,6.251478744135052,-0.0005324886473987365,0.15114688834891984
0.0,40,0.15776928454961825,0.1578554723458328,0.11519335621157645,0.11278313806108277,6.256260730844925,-0.0005387346338196127,0.15131858017182878
0.0,41,0.15936014478933985,0.15944729064163893,0.10331815408836566,0.11273582681209773,6.259669356307794,-0.0005439910953747625,0.15145178964623748
0.0,42,0.1606990906185079,0.1607870446520906,0.09184829404332437,0.10066584975621005,6.262101489975768,-0.0005484147744917952,0.1515558977728191
0.0,43,0.1618259929245535,0.16191462846656612,0.11324065566059521,0.12505421326364685,6.263839157326809,-0.0005521376021138251,0.15163784786327125
0.0,44,0.16277440036777896,0.16286361041504918,0.11608886015775406,0.12975129622529083,6.265082457548147,-0.0005552706118245501,0.15170280062631084
0.0,45,0.16357256124973124,0.16366225546153737,0.12380661494510622,0.13098197798692954,6.265973490045675,-0.0005579071975290048,0.15175461673216734
0.0,46,0.16424427583613366,0.16433437799145595,0.11417152018983967,0.12273188737133137,6.266613410927502,-0.0005601259746829471,0.1517962078982756
0.0,47,0.164809558817151,0.16490000462024118,0.11946604800659733,0.10946933506001344,6.267073967632753,-0.0005619931636442227,0.15182977995181526
0.0,48,0.16528524758385105,0.16537598281243038,0.12027263800930206,0.12349621869958492,6.2674062937224715,-0.0005635644413691633,0.1518570192455204
0.0,49,0.16568553126407362,0.16577651021303721,0.10885241805942035,0.11161976058475545,6.267646886376923,-0.0005648866385916681,0.1518792250016699
0.0,50,0.16602232836613537,0.1661135125000074,0.1220432415496862,0.12295338565712906,6.267821696814452,-0.0005659992149611222,0.15189740388787057
0.0,51,0.16630566117399664,0.1663970180083212,0.11216530513967442,0.10329371935042267,6.267949223700795,-0.000566935311554867,0.1519123408961332
0.0,52,0.16654454425319007,0.16663604676547777,0.1329326949577061,0.1371320883313586,6.268042713320444,-0.0005677227947638915,0.15192465392076118
0.1,1,-0.002877847284675135,-0.002323547152602205,0.00105117880929632,-9.268560156718652e-5,0.5541571154671238,2.2001684349533065e-5,0.04118894138792982
0.1,2,0.000948041619482647,0.0014201050474609627,-0.0013152766353371746,-0.003722888986393038,1.2692071631194324,-1.3059640895513466e-5,0.060962336683362914
0.1,3,0.003994346676216496,0.0043969285019057995,-0.0052032074876604,-0.009712280266911351,1.7095824626522438,-2.359854656001181e-5,0.07307138367438383
0.1,4,0.006430906815192136,0.006775261533722206,-0.002469060087256786,0.0009656708145117902,1.9810132865259715,-3.123270802411828e-5,0.08050087571359008
0.1,5,0.008383602180266219,0.008679761841462854,0.003149412806770551,0.008858172135269037,2.14864720687803,-3.666701412817464e-5,0.08508366052277892
0.1,6,0.009972428586362636,0.01023166651766058,0.0007196810000091569,-0.0016985432484186603,2.2521684715174453,-4.0917792746800524e-5,0.0879125872095189
0.1,7,0.011298093284731985,0.011530469585420955,0.0008649493199744635,0.0002646009479329489,2.3161039591005226,-4.435337097747717e-5,0.08966019069725491
0.1,8,0.012443377272687722,0.012657443641560889,0.0022214235508583027,0.003785284879187656,2.355605269134935,-4.721989503837081e-5,0.09074077832313984
0.1,9,0.013479257207457915,0.013682528704410639,-0.0024123994844817967,-0.007625927758318684,2.3800290834287896,-4.970213663424861e-5,0.09140990665760537
0.1,10,0.014469847335097083,0.01466924953745839,0.0017283236483498108,0.0062492828059905895,2.3951601852479687,-5.195363731450166e-5,0.0918255282854166
0.1,11,0.015476674225933969,0.01567896685629817,0.0035297768797967473,0.005886080682446792,2.40458324871594,-5.411222834744858e-5,0.09208555903156065
0.1,12,0.01656271779739009,0.016774918898898435,0.009019408909841101,0.014808833039055419,2.4105324339723344,-5.631053971543433e-5,0.09225110001557904
0.1,13,0.017796427524513915,0.01802625048955429,0.015427098913568747,0.02116795826780387,2.4144209428051027,-5.868497201103541e-5,0.09236090437313517
0.1,14,0.01925613227441208,0.019512477482280757,0.017152341946225547,0.019471811377116004,2.4172801015148044,-6.260430832476012e-5,0.09245008098560235
0.1,15,0.021035068524833393,0.021328592675229723,0.01753468448839314,0.01840149627865301,2.4195631965115,-6.579878467017716e-5,0.09251799973308794
0.1,16,0.02324733139099092,0.02359112823317297,0.02290863482972305,0.026884571751505378,2.4231903700511213,-7.071452315903348e-5,0.09268518079757118
0.1,17,0.025992600774590063,0.026398266110921942,0.029243031805064473,0.036387715255927974,2.4275494839075358,-7.526057378920045e-5,0.09287527242913811
0.1,18,0.02939844766562011,0.029880810601697193,0.038262336594180296,0.04599948419346073,2.432766599658363,-8.43186020345218e-5,0.09308510075165607
0.1,19,0.03322145079033152,0.03375386381062522,0.04608773739149015,0.05436415512454066,2.43888916434765,-9.177481724057657e-5,0.09327203300414962
0.1,20,0.037502393558419514,0.0380898295093655,0.04162562282149984,0.04015622432651138,2.4444032040683266,-0.00010501079895119693,0.09341285747349574
0.1,21,0.042294689914068304,0.042943579749886426,0.04656917930017382,0.04945758684026005,2.451887953787847,-0.00012152214180524712,0.09368555059550228
0.1,22,0.04768317210230647,0.04840352510465646,0.05163051227270508,0.05769531935054441,2.468616061425836,-0.000136569920004144,0.09460480047250246
0.1,23,0.053638148735670084,0.054427216406072204,0.05813504759483227,0.06459730045776037,2.47891089069573,-0.0001487289899526855,0.09497634874241444
0.1,24,0.060411269652602274,0.061297824716651926,0.06488819664339028,0.07395444440404267,2.488697001709346,-0.00016362688952686698,0.09527295549025556
0.1,25,0.06788441472940308,0.06885602007435598,0.06865168831882774,0.07019033842802969,2.505077149397198,-0.00019086614584196626,0.09599829615689226
