alpha1,delta,E_s,E_e,s_lr,model_surv,flat_surv,diff_surv
-0.005,0.8,0.05371997593787437,0.053910084221559816,0.14138518559483895,1877.5435785933005,1776.219370575136,-101.32420801816453
-0.005,0.85,0.058363780818766905,0.05873298497517947,0.1408277806053389,2095.2767431020015,1935.123402439266,-160.15334066273545
-0.005,0.9,0.06542705769147926,0.06609687716320009,0.13956054384209607,2450.5006826097037,2177.747544769176,-272.7531378405281
-0.005,0.95,0.05193986828265338,0.0532013685834687,0.09754425378141748,2171.019897717357,1752.8687403028223,-418.1511574145342
-0.004,0.0,0.036627689154483674,0.03665130692196025,0.14452557547600808,1185.7718087722478,1207.5804045144705,21.808595742222618
-0.004,0.05,0.03643009332735262,0.03645950930873566,0.14275003992062124,1181.1392070409977,1201.2610926313819,20.121885590384203
-0.004,0.1,0.03655012504041591,0.03657005327413361,0.14221204322331055,1186.3208554185974,1204.9032745250897,18.582419106492406
-0.004,0.15,0.03685157862328136,0.03687220544757358,0.14217972273951954,1197.889091194034,1214.8585278153607,16.96943662132642
-0.004,0.2,0.03720209226297025,0.03723047940079334,0.1421353656805731,1211.5332521264813,1226.6628710077416,15.12961888126012
-0.004,0.25,0.03757865432365116,0.03762144412162566,0.14202659288553462,1226.538764172911,1239.5443034963253,13.005539323414007
-0.004,0.3,0.03800163915945305,0.038044131080213,0.14197243175927374,1242.9215352231283,1253.4709143405364,10.549379117408158
-0.004,0.35,0.03849034267150377,0.03852999991603331,0.14201378251491986,1261.7817579542912,1269.4792298570922,7.697471902801102
-0.004,0.4,0.03901967387646824,0.03906088792457036,0.1420894062981575,1282.6507073774933,1286.9708286550863,4.320121277592866
-0.004,0.45,0.03967473535630199,0.039720400310973195,0.14217093999832955,1308.461077910162,1308.7003193946766,0.23924148451475324
-0.004,0.5,0.04045526643649986,0.04049543087254434,0.14224339302647557,1339.0662003777604,1334.2358813610197,-4.8303190167409005
-0.004,0.55,0.04135223574093524,0.04141887172180246,0.14211433022529868,1375.8950881795124,1364.6612377246192,-11.233850454893187
-0.004,0.6,0.04245021222746924,0.042509793612198754,0.14218275182945406,1420.043970125858,1400.6047281028332,-19.439242023025027
-0.004,0.65,0.043915389131311655,0.043981823090745595,0.1419990222195306,1479.590091979918,1449.104880005895,-30.48521197402328
-0.004,0.7,0.04575648816388355,0.04588208706406567,0.14185616102639195,1557.4929285441906,1511.7144219377058,-45.77850660648466
-0.004,0.75,0.04804062512584845,0.04816688361892579,0.14168840489211895,1655.4034248731953,1586.9934714358867,-68.40995343730839
-0.004,0.8,0.05125623916832938,0.05143613045940314,0.14138517889896016,1798.4955738174756,1694.7080047944733,-103.78756902300239
-0.004,0.85,0.05574174482945338,0.05609535927291698,0.14082777295386179,2012.841339859035,1848.2194041922767,-164.62193566675862
-0.004,0.9,0.06262921892531899,0.0632695139503065,0.13956056363311403,2365.7629075068116,2084.592110513988,-281.1707969928238
-0.004,0.95,0.04795286990768493,0.04911770932013517,0.09359417225901909,2029.329667312913,1618.321098778998,-411.0085685339152
-0.003,0.0,0.034704507048289576,0.034727007865371036,0.14455936902490252,1121.7420089765212,1144.1789591550826,22.43695017856117
-0.003,0.05,0.034511799188134504,0.034540067597121984,0.14276059505597807,1117.3055689674707,1138.019686165639,20.71411719816833
-0.003,0.1,0.03462156822479902,0.03464037617223163,0.14221204154611952,1122.1753870249881,1141.3246343347478,19.149247309759534
-0.003,0.15,0.034907527550283694,0.034926981097772675,0.1421797148455145,1133.2540830333303,1150.7676398094945,17.513556776164418
-0.003,0.2,0.035241495223314566,0.0352685968218615,0.14213537470512752,1146.3767162673996,1162.0231307845388,15.646414517139101
-0.003,0.25,0.035600670720680516,0.03564192653070673,0.14202658884902758,1160.8341617654073,1174.3235281969557,13.489366431548433
-0.003,0.3,0.03600307668254182,0.0360438022144697,0.14197243440048038,1176.5715335379632,1187.564453051186,10.992919513223011
-0.003,0.35,0.0364666024627745,0.03650435824723956,0.14201377246365557,1194.6450664545966,1202.738767067819,8.093700613222405
-0.003,0.4,0.03696608401985366,0.03700523823704381,0.14208939655719705,1214.5833098260373,1219.241667277869,4.6583574518318756
-0.003,0.45,0.03758729206635652,0.037630692722311794,0.14217094348318657,1239.3437183672079,1239.849024661699,0.5053062944914276
-0.003,0.5,0.03832914618487377,0.03836658419780044,0.14224340350045747,1268.7582380993022,1264.0950393411076,-4.663198758194574
