alpha1,delta,time,model_stock,model_effort,real_stock,real_effort
0.0,0.3,29,0.07793941082343461,0.08297732083954278,0.07969061037536078,0.1114691548235635
0.0,0.3,30,0.1150003031569269,0.1309993827599362,0.0842688156309542,0.11396370432948526
0.0,0.3,31,0.12590491379042637,0.13070501226414033,0.09052791991120489,0.1290830827750107
0.0,0.3,32,0.1291135676022132,0.13061860563765895,0.09357847025766398,0.1412570465447185
0.0,0.3,33,0.1300577216240255,0.13059320453432913,0.09105802694322503,0.1193512261818309
0.0,0.3,34,0.1303355503893528,0.13058574345119367,0.09100926447614141,0.11299083983141193
0.0,0.3,35,0.13041729639241764,0.1305835358244117,0.10494291362828134,0.13890670062927293
0.0,0.3,36,0.13044134174366692,0.13058287639912464,0.10803336071120224,0.13468309326821862
0.0,0.3,37,0.13044842738130688,0.1305827006819035,0.11597808932502368,0.14072512723881314
0.0,0.3,38,0.1304505090582724,0.13058263988863517,0.1145997052690025,0.11496396449484836
0.0,0.3,39,0.13045111795543277,0.1305826182038205,0.11344417956530933,0.12139671427935732
0.0,0.3,40,0.13045129914139988,0.13058261626641007,0.11112307306601009,0.11278313806108277
0.0,0.3,41,0.1304513511008109,0.1305826128949955,0.09686397588206354,0.11273582681209773
0.0,0.3,42,0.13045137477215668,0.13058262446726127,0.08312083314699018,0.10066584975621005
0.0,0.3,43,0.1304513729704726,0.13058261174632088,0.09470417600535215,0.12505421326364685
0.0,0.3,44,0.13045137713999536,0.13058261847908176,0.09174437213084383,0.12975129622529083
0.0,0.3,45,0.13045137981177157,0.1305826205116946,0.09998049490309756,0.13098197798692954
0.0,0.3,46,0.1304513693055186,0.13058260434802074,0.09497142203565492,0.12273188737133137
0.0,0.3,47,0.13045135469783176,0.13058258796725128,0.11168324740966752,0.10946933506001344
0.0,0.3,48,0.1304512819544826,0.13058249023534352,0.1146439887805515,0.12349621869958492
0.0,0.3,49,0.13045101606489093,0.13058214130334875,0.10884077497408749,0.11161976058475545
0.0,0.3,50,0.13044994545658345,0.1305807247437549,0.11443847840048682,0.12295338565712906
0.0,0.3,51,0.13044578843239318,0.13057524081958993,0.10902144383462885,0.10329371935042267
0.0,0.3,52,0.13045000364345263,0.13058304827759984,0.12883587998365778,0.1371320883313586
0.0,0.4,1,-0.0015354771449090953,0.0017115629606327864,-0.0010135349218573883,-9.268560156718652e-5
0.0,0.4,2,0.0007876772986735311,0.0023342581542723623,-0.0017941596051488683,-0.003722888986393038
0.0,0.4,3,0.0020640638204700427,0.0029141110627811098,-0.003514708073439474,-0.009712280266911351
0.0,0.4,4,0.002849238900355579,0.0033726028533415707,-0.0029316824647778158,0.0009656708145117902
